Genes	N.Sequences	N.Proteotypic.Sequences	E:\Julia\MB_proteomicsWorkshop\RawFiles\20201016_UdSjfb_20190115_freshstool_159-73X.mzML	E:\Julia\MB_proteomicsWorkshop\RawFiles\20220311_RDMitacsJFB_cal2a_036-41.mzML	E:\Julia\MB_proteomicsWorkshop\RawFiles\20220311_RDMitacsJFB_cal2a_008-47.mzML	E:\Julia\MB_proteomicsWorkshop\RawFiles\20220311_RDMitacsJFB_cal2a_032-19.mzML	E:\Julia\MB_proteomicsWorkshop\RawFiles\20220311_RDMitacsJFB_cal2a_020-38.mzML	E:\Julia\MB_proteomicsWorkshop\RawFiles\20220311_RDMitacsJFB_cal2a_098-25.mzML	E:\Julia\MB_proteomicsWorkshop\RawFiles\20220311_RDMitacsJFB_cal2a_080-42.mzML	E:\Julia\MB_proteomicsWorkshop\RawFiles\20220311_RDMitacsJFB_cal2a_064-26.mzML	E:\Julia\MB_proteomicsWorkshop\RawFiles\20220311_RDMitacsJFB_cal2a_030-45.mzML	E:\Julia\MB_proteomicsWorkshop\RawFiles\20220311_RDMitacsJFB_cal2a_004-6.mzML	E:\Julia\MB_proteomicsWorkshop\RawFiles\20201016_UdSjfb_20190115_freshstool_173-80.mzML	E:\Julia\MB_proteomicsWorkshop\RawFiles\20201016_UdSjfb_20190115_freshstool_181-84.mzML	E:\Julia\MB_proteomicsWorkshop\RawFiles\20201016_UdSjfb_20190115_freshstool_165-76.mzML	E:\Julia\MB_proteomicsWorkshop\RawFiles\20201016_UdSjfb_20190115_freshstool_157-73.mzML	E:\Julia\MB_proteomicsWorkshop\RawFiles\20201016_UdSjfb_20190115_freshstool_195-91.mzML	E:\Julia\MB_proteomicsWorkshop\RawFiles\20201016_UdSjfb_20190115_freshstool_035-14.mzML	E:\Julia\MB_proteomicsWorkshop\RawFiles\20201016_UdSjfb_20190115_freshstool_007-3.mzML	E:\Julia\MB_proteomicsWorkshop\RawFiles\20201016_UdSjfb_20190115_freshstool_003.mzML	E:\Julia\MB_proteomicsWorkshop\RawFiles\20201016_UdSjfb_20190115_freshstool_013-5X.mzML	E:\Julia\MB_proteomicsWorkshop\RawFiles\20201016_UdSjfb_20190115_freshstool_019-8.mzML
FBXO3	1	1		33196.8	8256.3	20231.6	6700.3	12138.7	1539.59	13090.9	2638.32		27090.2	14956.4	44589.6	17334.1	105912	17562.8	989.243	8284.17	8001.83	4900.96
FBXO6	1	1							712.867	680.588	782.345	1042.78	306.303					289.406	204.874			
FCAR	2	2									3413.85	2267.79										
FCGBP	104	104	1.23219e+06	257249	660109	151370	671112	517758	1.94371e+06	1.03801e+06	661486	380530	450690	1.45926e+06	323822	438354	60627.8	491201	395932	574764	560846	615211
FGA	1	1										8941.58							2964.2			
FGB	4	4			2261.23						267002	8619.26							48391.8			
FGG	11	11			7417.72				20001.2	39654	59638.6	36628.4	6809.3						13113			
FHL1	8	8	7590.69			39315.3	818.031		27300.5		21155.6	2044.05	24450.7		5570.54	3725.02	19939.2	59483.5		15089	4126.32	
FHL3	4	4	1580.29			2894.37			5378.49		25214.8	2562.03	7441.77		6986.79			10437.3		11268.5		
FLG2	4	4	2106.58	2557.01	961.224		1328.93		2578.84		2198.55		2847.33				40329		325.459		2931.06	3524.15
FLNA	6	6								3952.91	8281.33	2041.21							9024.24			
FLNC	13	10		3293.94	844.055	54804.7	2386.43		8991.95	3269.78	53146.5	6349.75	41042.9		31167	5240.92		25486.3		25541.3		
FMN1	1	1	15784.1	2242.7			2127.29	4058.82	5131.95			457.333			4806.11				1470.97			2482.95
FOLH1	1	1	757.421	402.353	834.092				345.208		257.448		367.118									
FOLR3	5	4																	35579.4			
FTH1	7	7	1692.14	6112.79	2879.18	13213.7	5189.55	4186.36	19784.8	78073.8	61676.1	6510.02	36403.5	12230.5	12105.8	1723.75	7681.58	133447	31004.4	18947.2	18173.9	39589.4
FTL	6	6	1462.83	2381.88	3063.86	5379.7	4478.7		25046.7	58524.8	53601.5	2094.59	26791.1	5296.72	4242.5	2180.34	8565.21	83692.7	33148.6	17933.8	6275.02	30998.2
FUCA1	1	1		2156.1		1972.47						1109.97	3004.47	830.344	3612.37	3291.98	5459.31		462.567	996		
GAA	4	4	1810.97	474.258	357.739	506.28			644.689	952.083	862.205	419.169	1619.79	3833.55	1219.66	746.3	896.995		465.361			819.729
GAPDH	11	11	16576.6	240629	808526	464849	111155	27543.3	374010	219494	233595	167621	121102	371076	409851	79863.2	310298	96499.7	42731	269480	133112	197864
GAPDHS	1	1	19773.7		3376.42				4018.25			8577.01		3184.38			20152.9		2475.82		13822.4	2073.79
GCA	4	4			1371.51					2087.1	50622.5	4310.21	2116.12						5172.79			
GDPD3	3	3	1680.88	1307.92	1725.66	4965.21	1401.56	3932.11	4172.85	7764.24	2128.01	2805.84	5752.76	8716.04		3239.47	18565.4	3111.51	1377.16		3850.21	2409.89
GGH	4	4	778.593		1576.99	908.18	327.009		1388.06	3957.89	2751.42	513.058	1918.87	1522.74	1983.8		1664.8	1118.39	2488	1353.59		1851.42
GLO1	4	4					611.259		2828.27	1059.67	8066.35	2640.49							1783.77			
GNAS	1	1			699.129		333.5				1601.35					757.221			861.774			
GNS	3	3	1737.32		860.407				1200.68	2087.57	2929.6	721.674	364.673						332.433			
GOT2	2	2			1556.29		1443.92		5642.29		5187.78	1039.21										
GP2	13	13	237176	27319.1	26638.8	20954.9	5176.65		36964.6	120412	17427.4	15822.6	26444.4	24659.8		16119.9	83475.5		10495.1	16747.1	8423.92	26445.6
GPI	6	5	9016.99		4550.69		2068.83		13672.9	1688.21	91606.7	20086.1							6212.58			
GPLD1	10	10							5082.84	13845	6988.19	9338.94					6635.09		6094.67	7274.84		1881.95
GPRC5A	1	1			12390.8		833.705						3800.84		9379.76	13940.2	46063.2					
GPX1	5	5			2297.25					708.56	7805.9								3783.57			
GPX3	3	3				866.544			532.826	7905.65	2256.93	1730.9						2830.64	2253.1	1571.8		1414.85
GRN	5	5	5060.16				633.942	9229.12	4179.59		6711.84	500.429	1209.02						798.148			
GSDMA	1	1											1508.09				27724.8					903.272
GSN	2	2			1128.36						16680.3											
GSR	4	4								816.164	667.54			1439.34		821.351			1125.36			437.779
GSTM1;GSTM5	2	0									15570											
GSTO1	4	4			732.818						14485.5								822.634			
GUSB	4	4	1927.12	777.59	593.273	2307.1			1275.89	1387.07	714.572	1238.11	1781.68	4264.28		2241.95	6138.76	5421.75	2143.23	4674.11	1773.91	2687.15
H2AC1;H2AC11;H2AC12;H2AC14;H2AC18;H2AC20;H2AC21;H2AC25;H2AC4;H2AC6;H2AC7;H2AJ;H2AX;H2AZ1;H2AZ2	1	0			1899.83		1085.35				1798.54					1761.46	146180					
H2BC11;H2BC17;H2BC19P;H2BC20P;H2BC21;H2BC26;H2BC3	1	0		4175.45					1097.35		26058.9		2962.34						1227.71			
H2BC12;H2BC12L;H2BC13;H2BC14;H2BC15;H2BC18;H2BC4;H2BC5;H2BC9	2	0			4646.61						56554.1								2331.03			
H3-3A;H3-4;H3C1;H3C15	1	0			4198.25						3665.92	2728.26	3625.24				11387.9	4798.15				
H3-7	3	1		19855.3	14383.1	36505.3	7066.09	33395	22107.9	25701.7	82468.6	4582	5455.51		32867.5	39768.7	49083.3					
H4C1	4	4	1554.71	31280.1	34156.8	44961.2	3934.65	9039.25	4954.36	41031.7	22197.1	2512.59	23982.1	10497.4		7666.04	319200	19500	2364.95	7568.35	6366.11	5495.15
HARS1;HARS2	1	0														6216.99	47869.1					
HBA1	5	2		18216.2	5341.82		6914.35		31853.4	12705.1	771012	10720.2				9554.84	4704.72		5922.91	35045.2		
HBB	18	11		12968.8	13940.4	12573.7	6628.18	6272.21	81378.2	39550.6	3.72254e+06	23518.8	5026.11			13434.2	12696.1	18418.2	347869	44576.9		3462.66
HBD	5	5							2982.92		73352.9								6181.18			
HBG2	1	1									3644.48											
HEXA	1	1			2227.08	2982.05			1654.42	3291.24	11133.8	9427.37							1652.82			
HEXB	2	2			5169.99				1335.59	4403.61	2592.8	6280.85	1652.91									
HHLA2	2	2	8412.56						11258	4786.06	2444.29	2721.97	4531.23						3214.32	8154.56		3711.49
HLA-DPA1	1	1	575.943						2091.89		1920.48								568.873			
HLA-DPB1	1	1							12402.1				4795.55									
HLA-DRA	6	5	3347.88		6855.68	14512.5		2010.1	11878		7350.25	9444.68	3798.43	6009.01			3601.5		8115.19	2450.02		
HLA-DRB1	4	1	3246.48	1005.32	5752.67	4515.9	383.187	2019.78	8281.97		3402.1	6615.13	3715.88						4811.21		4773.38	
HLA-DRB5	2	0	1765.96		1002.56	12910			9354.07			1974.9	2814.17	9713.75					5300.66			
HMGN2;HMGN3	1	0									10824	799.231							76.7672			
HNRNPA2B1	1	1									219.798	411.739	322.999									
HNRNPC	1	0									14319.9	1983.69							2172.39			
HP	8	3							20551.5	4686.41	32706.8	11861.4							4485.4			
HPX	5	5									82101.7	20810.8							3758.56			
HRNR	2	2		1998.32	1177.78		1132.01	2444.26	804.352		2243.72	1115.73	1193.92								3993.62	1227.9
HSP90AA1	2	2		1841.87	1061.14		872.731	4143.13	2158.97	16823.5	8751.41	2954.88	2118.94									
HSP90B1	3	2		488.537	492.461		820.962				5688.75	547.189	896.635				865.882		492.815			
HSPA1A;HSPA1B	4	0			754.049						38153.8		726.839						5419.58			
HSPA5	8	8			1308.65						5260.04	585.425		1921.81		3287.87	16301.9		727.875			
HSPA8	2	1			1668.14	2871.51	471.419				15729.8	679.387	3237.64						2711.24			
HSPB1	1	1			1244.37																	
HTR1D	1	1	3854.06	22671	2298.32	70876.9										18399.6	48669.7			14239.7		
IGHA1	19	10	1.75018e+06	389900	7.45104e+06	943709	643489	544263	3.16111e+06	2.63612e+06	1.86676e+06	3.59598e+06	1.12258e+06	668016	1.19886e+06	1.46129e+06	471729	335677	793368	467561	405631	415517
IGHA2	1	1			3900.62		5185.53		1503.97		4796.29	3762.92	1790.27									
IGHG2	8	4	40538.7	18558.4	37740.3	23385.3	40314.6	24096.8	905125	274735	198191	79447	93792.8	39603		16249.9		44182.5	430984	241138	18379.9	70033.8
IGHG4	2	2			518.646				9426.35										2495.97			
IGHM	15	15	151901	9589.84	232170	18045.7	37259	45306.9	160172	27545.3	75506.2	146579	6781.07	3928.9	14154.7	13917.8	33900.3	6897.3	56232	5798.37	8567.22	23544.1
IGHV1-18	1	1	1743.24		7460		4797.91		4542.06							2859.54			2930.35			
IGHV1-2	3	2	5761.65		8263.74		3083.87	5470.78			3513.58								3556.45			
IGHV1-3	1	1			7665.67																	
IGHV1-46	1	1			4555.53		5851.13	8324.46	5317.45			2028.83							2782.23			
IGHV1-69	3	2	1707.23		1888.18		1145.64	2393.6		1378.46			911.916					1820.76		1560.99		
IGHV1-8	1	1	2459.78								1151.98								524.298			
IGHV2-26	2	2	2171.39		18980.2		2200.6		932.315	1657.91	1282.08	1041.91				662.841			508.658			
IGHV2-70D	2	2	19420.8				5396.31	2572.65	774.431		10537.3	4254.53				1727.95						
IGHV3-13	1	1			7676.79		4361.11	1924.72	11022.8		1928.85											
IGHV3-15	2	2	5750.36		14040.1		3143.05	3873.89	11438.2	4028.96	2853.65	5752				4290.98			6305.62			2731
IGHV3-23	2	1	24785	1198.02	139216	8052.53	45393.4	60775.7	87425.9	19263.9	24997.7	34587.5				22653.9	4317.12	7911.62	23601.7	3073.31	1686.46	11991.3
IGHV3-30;IGHV3-30-5	2	0	31615.8		202565	6737.94	23270.7	52011	95288.9	45999.2	49208.2	77081.7	1294.36		7564.21	19508.2	7121.66	10690	27270.4	9748.29		24410.2
IGHV3-35	2	2	385.688		8403.76		6037.24		10919.1	960.828						1791.17			707.815			
IGHV3-38	2	2	8928.65		33294		12872.1	4981.73	12799.4	6959.74	9661.56					9370.48			8795.1			
IGHV3-38-3	1	1			1176.38		5955.89				1135.18								622.339			
IGHV3-43	1	1	1832.31		2389.37		2098.49	2931.37	8732.87		2652.29	1452.82							1340.33			
IGHV3-43D;IGHV3-9	2	0	9083.47		34880.8		14332	15686.3	26029	3094.11	3609.4	5206.16	916.306			4513.77		4288.04	6165.69		4145.53	3423.65
IGHV3-49	4	3	4974.67		13150.9		12902.9	4963.74	28050.1	10764.4	10860.1	2823.93				4458.41		457.285	3968.91			261.003
IGHV3-64D	2	2	5658.56		8550.9		5287.98		5625.56	3437.09	4405.14	1657.74				3294.8			3251.85			
IGHV3-7	3	2	73497	4013.98	127673	3361.29	39858.6	80447.6	121328	74393.5	56659.9	52174.5	4097.13	3709.82	12249.3	36859.6		5515.43	55692.2	9853.35	2428.63	27517.6
IGHV3-72	5	3	42814.9	4853.38	193745	22127.9	73877.9	68680.6	249361	117631	157887	21849.1	3812.01			40260.9		8967.67	47661.1	5546.42		14705.3
IGHV3-74	3	2	108336	2222.3	142898	1256.83	62405.5	34808	92571.9	55419.7	74202.6	9243.41	2885.4			46915.4		6698.4	47946.2		5693.45	6773.13
IGHV4-28	1	1	9137.28	1856.19	50596.1	9433.26	21030.1	27799.5	39863.3	28063.9	27083.5	26956.2	3295.74			6124.9		6955.36	6431.53	16189.3		12388.8
IGHV4-34	3	1	71393	5263.07	305856	31440.1	57431.8	149171	205881	72819.9	91263.7	233739	6796.94		53551	31424.3	6702.61	131890	72342.9	76007.3	19248.4	72356.9
IGHV4-4	3	2	1937.77		13003.2		13693.8	6657.19	33289.6	2299.64	6358.86	9235.09				1750.54		1695.98	2995.65			
IGHV5-10-1	4	2	9087.36		10374		5844.36		3333.9	5976.42	8842.05	2059.44				2684.18			6657.62			4134.83
IGHV5-51	2	2	9779.29	2435.85	15910		19928.8	12754.2	17988.6	10592.4	10812.6	13327.9		2898.63		3328.37		12873	25412.7	11685.2		14552.3
IGHV6-1	2	2	18639.7	10538.2	311234	50576.5	79420.4	12318.1	462711	290872	64737.7	6747.12		5320.32		21538.5			98440.4	16684.9	13272.6	40251
IGK	5	5					18846.5														4106.62	
IGKC	2	2	1.12324e+06	200195	2.39082e+06	233204	1.67213e+06	2.17718e+06	2.79504e+06	3.26067e+06	1.02375e+06	1.93445e+06	282281	224229	1.14683e+06	787401	74251.1	1.52555e+06	3.03769e+06	1.09432e+06	504786	2.84892e+06
IGKJ1	1	1			10088.1		4405.9		5853.29	4673.91	5473.97					3574.75			5384.76			5364.12
IGKV1-12;IGKV1D-12	2	0	14668.6		86753.7		12947.9	6904.62	16435.8	11872.4	12642.6	1470.83				7626.73		2188.32	12305.5			2511.07
IGKV1-13;IGKV1D-13	2	0							18727.2										21412.5			3889.01
IGKV1-16	2	2	3254.13		6268.42		2040.22		2319.6	2968.17	4289.26	1554.52				3830.08			2706.29			3352.17
IGKV1-17	3	1	5385.06	2088.58	31401.1	3141.86	9495.24	8039.47	19933.6	8029.85	14926	12768.8				8718.55		6144.07	3320.85	3744.98		10503.8
IGKV1-27	3	2	4960.2		22203.2		3224.6	3043.19	3942.52	4866.07	4618.79					2319.43			3399.94			
IGKV1-33;IGKV1D-33	1	0	10064		36117.2		9952.93	11829.2	10381.9	11723.7	8249.86	2865.46	423.811			4318.23		1731.05	13383.2			2973.05
IGKV1-37;IGKV1D-37	1	0	166.785		4759.42		492.461		880.532		946.455								219.777			
IGKV1-39;IGKV1D-39	2	0	3791.76		34120.7		3291.46	6180.25	4437.15	14434.6	5659.93	5228.66				1502.65		1603.08	2622.58			1912.42
IGKV1-5	2	2	3764.46		24718.4		6319.89	7514.34	5290.17	14079.5	6639.37	1530.11				1574.1			2650.52			
IGKV1-8	1	0	2215.12		14100.5				3244.34		3666.49					2571.84			2067.54			
IGKV1D-16	2	1	761.825		1696.31		696.492	661.779	2365.62	1018.64	747.049								530.954			
IGKV2-24;IGKV2D-24	3	0	8380.66	1342.03	16252.7	2982.16	5122.25	19982.6	40309.5	22177.7	7743.88	18844.6	3524.67	6965.31		25346.2		6253.17	14051	11594.6	3418.07	27263.1
IGKV2-28;IGKV2D-28	4	0	53487.2		64852.7		23553.4	16585.7	59676.6	43724.3	49717.9	23863.7	4800.61	9026.24	25369.8	27178.9		4766.6	42863.1	6668.85	3676.96	7337.84
IGKV2-29	5	1	171724	6381.89	311548	37692.5	131012	287806	366168	223494	205736	182144	19786	47049.5	93683.2	158458	11055.1	67680.4	286734	55244.3	48127.4	164768
IGKV2-30	1	1	86654.8		66530			91042.4			191941		3600.16	4416.73	26715.5	21766.7		8337.21	35205.8	7543.87	5734.52	23719.1
IGKV2D-30	2	1	2886.05				560.289					1561.87							2920.18			
IGKV3-11;IGKV3D-11	3	0	85313.9	6125.53	111036	7894.44	38960.4	88257.9	46658.8	74180.2	31236.4	50597.6	4105.6	11044.4	15831.3	52254.5	10490.7	38926.6	99509.7	41554.5	7949.92	44512.6
IGKV3-15	1	0	89597.9	2883.22	107017		56277.3	33620.1	108215	68250.6	101886	3722.09	2328.31			65068.4	17641.3	12992	181667	7393.2	12605.2	16407.2
IGKV3-20	7	4	115111	5700.67	454729	29247.5	181873	238810	343960	209163	298531	93989.6	8570.05	11676.5	33774.9	85157.3	18590.2	68906.9	191349	31213.7	22069.6	85680
IGKV3D-15	3	1	7582.29		34656.8		7568.1	11874.2	10798.3	17282.6	13884.4	3349.31	635.991			6001.52			8243.76			4502.21
IGKV3D-20	1	1	16546.2		10732.8		10025.8	37961.9	12413	11795.1	12662.4	5464.79	789.809	2514.93		7099.41		2121.68	13010.3			16606.9
IGKV4-1	5	5	152826	8346.68	291860		83125.8	118760	126379	141814	136807	166692	11419	9796.54	53652.7	69140.5		24422	84131.4	22986.4	9194.72	42736.6
IGKV6-21	2	1	3303.04		2861.62		445.901		17214.7	1883.82	14727.5	383.914				2156.84			3002.89		2141	1536.24
IGKV6D-21	1	0			1133.75		2903.64	1720.05	1775.46	2053.62						800.085			2199.76		4212.01	
IGL	4	4	4552.75				44394.9		31190.2						11650.3							
IGLC2	4	0	419769	26142.6	383809	71411.3	361563	368576	1.33003e+06	150907	862849	716376	29249.9	8417.68	104531	37951.2	13161.6	58564.2	55027.1	41673.5	18755.4	104765
IGLC7	5	2	955349	40252.4	1.09662e+06	16281.8	506997	614354	1.42251e+06	318405	855241	597252	65569.7	8108.77	194390	63154.7	42922.1	167487	135955	92404	23378.8	161848
IGLL1	1	1	13006.2		1713.32		2894.79												1271.83			1366.02
IGLV1-40	1	1	12140.8		34446.7		5616.41	10223.9	10922.9	2179	16385.3	17291.9				867.291			1150.41	4913.98		
IGLV1-47	2	1	12666.3	775.903	53331.6	2940.75	12127.7	18592.8	44241.4	9219.69	15687.7	8163.9	967.471			4160.3	3051.89	2270.81	2812.53	5468.4		1249.09
IGLV1-51	2	2	20741.1	1778.41	13307.2	5025.18	21661.4	27033.9	48441.3	15691.8	36645.4	74016.6	4465.54	10148.8		6675.91		20951.4	9167.21	5929.19		11376.3
IGLV10-54	1	1			2577.22																	
IGLV2-11	1	1	4402.54		6536.14		1463	1809.29	3479.44		1214.82	32373.7							1276.37			
IGLV2-14	1	1	13160.3		9110.31		6350.21	2752.37	4300.93	1525.75	5063.5											
IGLV2-18	1	1	5755.37		1005.26		766.692		6105.86	9831.86	1460.81	25143.6				3229.98			787.397			1262.37
IGLV2-8	1	1	10075.3		17588.7		4881.14	10413.5	5181.8	1617.38	4590.36	36880.6				2590.48			1741.82			
IGLV3-1	2	1	17840.3		135322	12177.6	30667.8	57450.2	67029.9	12234.5	58296.6	207201			14213.1	3109.85			2034.53	13588		3547.83
IGLV3-10	2	0	8322.65		12922.5		11702.6	7785.41	9519.13		2491.61	81036				5257.67			2338.49			
IGLV3-19	4	4	9547.56		30390	5089.5	13038	9833.18	34020.6		21194.6	9413.02							2645.23			
IGLV3-21	2	2	8622.41		33468.4		14994.4	21664.4	9978.78	4617.96	9978.92	12213.5		3552.62					2209.42			
IGLV3-25	4	1	7993.24		53556.5	3438.94	11112.9	3295.53	14978.4	3007.49	24717.8	55586.5							1745.01			
IGLV3-9	4	2	5741.08		19307.7		10190	4213.39	11390.1	1763.82	9658.96	1995.7					2903.65		1538.48	2495.18		
IGLV4-60	1	1			5901		1546.54		2950.28			4014.81										
IGLV4-69	1	1	5085.41		12361.9		6542.68	15465.2	19595		9834.66	6049.2	1648.49	2748.33					710.345			1190.86
IGLV5-39;IGLV5-45;IGLV5-48	1	0	1894.92		1809.3		1199.08				995.829											
IGLV6-57	2	2	2236.14		1555.94		3152.82	4917.32	5373.81		9448.27	17902.2							522.682			
IGLV7-43	2	0	7644.17		18839	4003.16	4988.95	5117.82	18507.9	7368.07	60979.4	7657.52			14478.3	6069.34		13569.3	2422.04	8241.03	1793.21	3433.06
IGLV8-61	1	1	6923.57		15248.6		3319.32	16794.4	17439.7	3088.95	5933.92	15676.8	1191.42			3382.52				9600.05		2781.65
IGLV9-49	2	2									6636.26	10700.1										
ITGAM	7	7									12081.9	3523.3							972.189			
ITGB1	2	2			3701.66	13124.7						2493.13		9166.58								
ITGB2	6	5							2822.37	1442.06	34680.9	4911.32							2532.42			
ITLN1	8	8	66074.2	31269.3	25090.2	23378.8	50594.3	48399.8	111355	33121.2	12247.7	9537.32	12958.6	37479.2	16506.8	38319.7	158720	43878.3	13850.1	44554.9	29354.8	31379.6
ITLN2	16	11	73822.9	32880.3	19881.2	69557.8	34879.9	111455	194513	82708.9	36665.4	21418.4	79754	131275	69561.9	130780	846577	238029	60755.5	257942	86978.2	134820
JCHAIN	6	6	207425	24081.5	1.06063e+06	57216.1	42180.9	55760.2	208083	94628.4	100237	407367	194972	362409	358885	270664	75498.5	78668.6	109533	119325	76827.5	128606
KCNAB2	1	1									4550.53											
KLHL31	1	1			413.166	1242.36	1831.16			3940.89												
KLK1	6	6	271625	174646	249517	278551	71813.6	588598	495503	562196	212572	102962	347067	31860.3	232640	255045	13516.9	398384	49647.2	6290.56	185719	92917
KPLCE	1	1	2357.94														10129.1					
KPNB1	1	1									1322.73											
KRT1	32	25	176203	139560	80986.4	136125	57478.2	227139	87689.7	134172	78485.6	100432	269704	58791.1	201066	54350.6	1.77512e+06	170203	32122.9	167274	292649	253215
KRT10	30	17	147553	107244	60733.4	105685	34491.9	197815	75710.2	100913	66855	82413.8	152707	27820	97195.6	34606	1.53402e+06	112049	22284.8	96964.8	161166	176896
KRT13	2	1			1083.97						1040.2		2035.77			1338.94	9156.71	1628.41				
KRT14	14	3	7029	8492.23	17474.4	6356.71	2931.17	13591.6	7373.19	7226.51	9030.78	5757.77	10172.3	3897.19	5925.5	4776.61	50075.7	6437.09	1675.41	8363.06	11688.5	16266.2
KRT16	24	9	13114.9	14309.5	62796.4	10311.4	3873.44	20211.6	9528.38	13404.8	12193.5	8568.75	18232.8	6268.34	8615.47	15729.4	51807.6	9074.67	3851.07	10427.6	22500	23590.2
KRT17	6	1	1203.09	1046.18	5276.81		384.193	1515.46	1039.55	1037.93	735.871	1069.27	791.325			1419.45	3461.96		586.861	2463.85	1212.75	5343.57
KRT19	5	3			2682.76	2224.08	662.741				2668.25		1752.64			2297.74	9074.35					
KRT2	39	25	177943	128145	87038.8	133668	42408.7	224780	95488.5	113518	82504.5	95360.3	206940	40399.5	119501	46468.3	1.10002e+06	150159	29163.5	137573	282674	239401
KRT20	2	1			2398.06																	
KRT31	6	1			12313.8																	
KRT34	6	2			22978.8																	
KRT36	9	5			13592.2																	
KRT4	2	1		948.909	523.602	3738.51							1532.32			3990.25	19021	1469.23				1932.98
KRT5	20	8	15401.9	18030.5	27325.8	16226.4	6116.09	29114.5	14719.6	17418.8	11896.1	14147.7	26448.3	7333.5	14412.7	8297.26	149667	17192.7	3399.05	16434.5	21716.9	28139.8
KRT6A	14	2	7787.62	12429.5	54943.1	6607.34	2555.55	13537.5	8662.5	8859.7	10717.8	9767.55	9048.38	4207.12	3638.72	13516.1	16450	6529.57	2800.37	5702.95	8875.68	21619.9
KRT6B	3	2		1216.12	9843.05	1549.19	583.23	1541.97	2999.48	1374.05	1172.66	2380.23	1355.48			1540.38						3257.78
KRT73	1	0	4461.3										6735.04				50063.3	7067.48		3040.25	10960.8	6550.92
KRT77	15	12	5811.24										12485.1			2047.93	198992	5763.9				2584.79
KRT78	6	6	4027.11	3460.07				3946.65	1907.27				4985.13				78668.2				4739.35	3123.86
KRT8	8	6	17219.4	2573.55	7069.41	7296.17	6063.51		6526.2	8857.9	5767.83	2260.57	1265.24	2933.12	3108.3	5415.41	9209.99		1707.73			
KRT81;KRT86	3	0			4453.11																	
KRT84	25	21	8205.64	16252.2	35960.6	21642.3	4436.08	30925	10618.1	17426.1	14965.6	18356	15472.1			9112.46		5941.06				
KRT9	23	22	77110.2	115136	66237.4	102973	54464	175880	82406.5	115258	68174.7	79457.5	197233	54535.4	196467	37575.1	359997	145316	22611.2	118552	252890	174909
Krt13	1	1				4892.33					2707.45						5437.47					
Krt18	1	0			2610.9	9024.25					3769.56											
LALBA	5	5	2517.83		156468	37073.2	8639.79	3827.81	24306.8	25957.3	12505.5	4348.34	9205.31	4362.12	4366.37	39144.4	31773.4	33332.2		157820	2764.09	300778
LAMP1	2	2		758.594	1636.17				124.626	2018.79	718.49	450.017	894.841						1090.02			
LAMP2	4	4	45368.9	19890.3	8444.36	41238	18896.7	17054.4	17935.7	35895.7	43935.9	2390.1	11447.8	13176.8		16496.2	6789.17	23981.6	38868.4	11493.8	18704	9305.88
LAP3	18	18	7247.38	4794.16	10673.4	10461.5	1133.01	5087.31	11104	3805.44	3041.05	7458.26	6670.06	13074.1	7291.97	2718.75	2134.58	1967.03	1856.65	15631.7	4139.86	3505.02
LBR	1	1									7034.52								530.049			
LCN1;LCN1P1	1	0			345.16		304.676	1492.55		1270.39		2786.63					922.688					
LCN2	9	9	902.869	6411.79	80015.8	25457.4	591.139		6617.67	18408.9	16619.5	59479.2	6924.44	11401.1	9125.53	4725.16	5997.41	14112	10590.3	11725.3	3411.99	9498.63
LCP1	9	6			986.7	3280.86					35275.1		474.609						3892.32			
LCT	18	18	26857.5	8504.02	1644.73		1346.55	3014.18	12831.6	51349.5	12748.3	12297.1		10083.3			24557.2		26010.1	7742.12		4704.88
LDB3	3	3	3456.14	5884.62		4319.47	2508.24		3197.01	6277.98	3635.72											
LDHA	2	2			1512.1						16109.5	4555.09							1049.89			
LGALS3	4	4			9130.14						1939.42	872.425										
LGALS3BP	11	11	5754.22	11983.1	48985.5	55357.8	4498.94	3758.11	11334.7	35682.1	20245.9	39203.5	16672.9	25981.1	18914.1	15498.9	97227.2	3253.52	3161.5	4416.37	2791.58	7888.01
LGALS4	7	7	93814	62454.1	177996	22547.2	92397.3	89008.9	357324	216416	136874	242845	58421.6	57551.7	74387	84199.8	91397	24375.5	140930	97716.8	50610.3	96871.5
LGALS9;LGALS9B;LGALS9C	1	0							3233.55													
LGB	5	5	2496.19	4947.03	8410.68	12865.4	5882.53	19159.1	6164.71	11913.8	4374.1	11727.7	2425.55	9243.38	25122.7	3968.75	12933.4	9281.64		7737.9	15365.8	27357.5
LRG1	1	1										9697.85										
LTA4H	2	2									10192.3	1773.1							4435.9			
LTF	40	39	4354.52	13235.5	11479.3	4431.18	3304.64	8486.71	129966	87617.8	902046	49537.8	26855.9	2652.35		3271.6	20450.5	37032.3	337535	42475.5	11437.5	20646.7
LXN	2	2	2375.12	601.863	2584.81	2506.32	595.633		1158.71	1099.25	2456.96	3924.39							3802.99			1130.36
LYPD8	1	1	19193.9	3347.01	18405.1	18964.6	33884.9	10421.2	53645.6	3705.77	7258.17	360.143	3293.47	7464.09		27536.3	16220.7		8789.21			
LYZ	12	12	3070.09	9536.92	26630.2	31396.6	5897.03	18409.3	8781.15	9875.69	28314.8	4538.54	5939.02	5028.43	8932.88	15805.3	53348.1	6613.87		3603.22	8315.31	4501.16
